1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
221	-1.144234	34.606823	25.814960	0.001075	0.6
222	-1.115895	34.577000	25.828812	0.000668	0.5
223	-1.101416	35.536844	25.390308	0.000962	0.5
224	-1.126622	35.507022	25.403708	0.001433	0.6
225	-1.137866	35.477199	25.417122	0.000542	0.5
226	-1.143253	35.447412	25.430535	0.000558	0.6
227	-1.100393	36.423310	24.998348	0.001024	0.6
228	-1.088258	36.395315	25.010541	0.001136	0.6
229	-1.107300	37.386469	24.585968	0.001429	0.8
230	-1.105891	37.356647	24.598533	0.001151	0.6
231	-1.078904	37.326824	24.611110	0.001765	0.6
232	-1.090125	37.297002	24.623700	0.001107	0.6
233	-1.123466	37.267179	24.636303	0.000674	0.5
234	-1.143001	37.240233	24.647702	0.000973	0.6
235	-1.117658	37.210736	24.660192	0.000486	0.6
236	-1.123090	37.181917	24.672406	0.001657	0.6
237	-1.099262	37.152591	24.684848	0.000702	0.6
238	-1.134254	37.122769	24.697514	0.000507	0.6
239	-1.118455	37.093069	24.710140	0.001351	0.8
240	-1.104888	37.063246	24.722832	0.000792	0.6
241	-1.115427	38.062739	24.304458	0.001217	0.6
242	-1.079359	38.161073	24.264061	0.000917	0.6
243	-1.108819	38.131280	24.276287	0.001263	0.6
244	-1.120217	38.101457	24.288536	0.001738	0.5
245	-1.146245	38.071635	24.300799	0.001751	0.5
246	-1.107426	39.071635	23.896268	0.001321	0.5
247	-1.086409	40.071635	23.504986	0.001347	0.5
248	-1.126098	41.071635	23.126310	0.001222	0.7
249	-1.112284	42.071635	22.759643	0.000732	0.6
250	-1.100909	43.058086	22.409160	0.000567	0.6
251	-1.100254	43.028547	22.419498	0.001112	0.5
252	-1.110720	43.209239	22.356407	0.000794	0.6
253	-1.087246	43.180297	22.366489	0.001110	0.6
254	-1.125688	43.150474	22.376887	0.001183	0.5
255	-1.094554	44.150474	22.033422	0.001092	0.6
256	-1.088521	44.120652	22.043512	0.001054	0.5
257	-1.098920	45.120652	21.710129	0.001286	0.6
258	-1.149336	46.120652	21.386680	0.000783	0.6
259	-1.118607	46.474233	21.274609	0.001354	0.6
260	-1.141029	47.474210	20.963920	0.000386	0.6
261	-1.132493	47.444409	20.973048	0.000943	0.7
262	-1.091140	47.414648	20.982172	0.001298	0.6
263	-1.072083	47.384826	20.991322	0.001406	0.6
264	-1.127747	47.355003	21.000480	0.001163	0.6
265	-1.114326	47.325181	21.009646	0.001345	0.6
266	-1.100991	47.295358	21.018821	0.000823	0.5
267	-1.117785	47.265536	21.028003	0.001242	0.5
268	-1.104242	47.235713	21.037193	0.000981	0.6
269	-1.107580	47.288226	21.021016	0.000903	0.7
270	-1.101253	47.258410	21.030198	0.002500	0.5
271	-1.114313	47.228588	21.039390	0.001625	0.6
272	-1.093136	47.198765	21.048591	0.002104	0.6
273	-1.119760	47.168943	21.057799	0.001313	0.6
274	-1.096452	47.139120	21.067015	0.001803	0.6
275	-1.106850	47.109298	21.076240	0.001307	0.6
276	-1.164033	47.079479	21.085471	0.002125	0.7
277	-1.127965	47.049657	21.094712	0.001247	0.6
278	-1.144333	47.019834	21.103960	0.001583	0.6
279	-1.118368	46.990012	21.113217	0.001263	0.6
280	-1.126401	46.960189	21.122482	0.001720	0.6
281	-1.126698	46.930367	21.131755	0.001289	0.6
282	-1.095227	46.900544	21.141037	0.000546	0.7
283	-1.105106	47.892797	20.836545	0.000786	0.8
284	-1.085995	47.891295	20.837000	0.002570	0.6
285	-1.139317	47.861473	20.846024	0.001129	0.6
286	-1.174536	47.831650	20.855056	0.001075	0.6
287	-1.115915	47.801828	20.864095	0.001307	0.6
288	-1.120231	47.772005	20.873143	0.001217	0.6
289	-1.108001	47.742183	20.882198	0.001457	0.7
290	-1.126437	47.712360	20.891262	0.001362	0.6
291	-1.136206	47.682538	20.900333	0.001392	0.6
292	-1.112557	47.652715	20.909412	0.000773	0.6
293	-1.125535	47.624911	20.917884	0.001525	0.5
294	-1.118313	47.595088	20.926978	0.000210	0.6
295	-1.123087	47.566411	20.935730	0.001305	0.6
296	-1.061094	47.542367	20.943074	0.001962	0.6
297	-1.108431	47.512544	20.952191	0.001400	0.5
298	-1.114158	47.482722	20.961315	0.001209	0.5
299	-1.085169	47.452899	20.970447	0.000754	0.6
300	-1.096315	48.452722	20.668562	0.001098	0.6
301	-1.076857	48.585878	20.629012	0.001933	0.5
302	-1.111885	48.556056	20.637856	0.001361	0.6
303	-1.097639	48.526233	20.646709	0.001570	0.6
304	-1.137866	49.526184	20.353971	0.000912	0.6
305	-1.088941	49.496361	20.362581	0.001367	0.6
306	-1.138047	50.496271	20.077801	0.000576	0.6
